URI de la canción;Nombre de la canción;Nombre(s) del artista;Fecha de lanzamiento del álbum
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Pereza;2005-04-07
spotify:track:0eVborSuxUeSg0meWYd9dZ;Soldadito marinero;Fito y Fitipaldis;2004-12-28
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;1999-10-18
spotify:track:709CndJJB3GTUhQD0LLFse;Torero;Chayanne;2002
spotify:track:2zNDRGoRkNEkMhO5fcGTMv;Sarandonga;Lolita;2001-03-26
spotify:track:0YxU7V3kuCGwzuWCLiOXgF;Que la Detengan;David Civera;2016-11-18
spotify:track:2EM9zpAc7PVeoAydmbfVIL;La Camisa Negra;Juanes;2004-01-01
spotify:track:3G0C3Z9H9CLejvrkWbGBb7;Pa' Madrid;El Barrio;2007-10-15
spotify:track:5QrHfu4q83HjcFcRi2WlS3;Volare (Nel Blu di Pinto di Blu);Gipsy Kings;1989-08-02
spotify:track:15m2Op4d1ZtX0ScPaDNKcd;Vino Tinto;Estopa;2001-10-23
spotify:track:6PfQB3xEbIlky1dXOb3Yyh;Amigos para Siempre;Los Manolos;1992-06-23
spotify:track:3ONjIwgGbz6W1HFWRPsWRM;Como Ronea;Las Chuches;2004-05-13
spotify:track:3QncI2MDoSto39bT8SJtKK;Antes Muerta Que Sencilla;María Isabel;2004-01-01
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;El Toro Guapo;El Fary;1984
spotify:track:78GUxsLIyH3ZohwhNCTKES;Noches de bohemia;Navajita Platea;2007-05-25
spotify:track:3v1dCP3hk2djfWryqfp7sx;Caminando por la vida;Melendi;2005
spotify:track:4UtREbGYnd1nZLckEb5y8J;Carolina - En directo 2000;M-Clan;2001
spotify:track:7BCer0V0I1CZDI6S6kYD44;Son de Amores;Andy & Lucas;2001-01-01
spotify:track:4ppxWzgjvst4Mv1Kpwooeh;Búscate un hombre que te quiera;El Arrebato;2004-08-30
spotify:track:0csENJioyGcnIChZJymTDE;Mi gran noche;Raphael;2005-11-21
spotify:track:1dOvNHs7dDO9i91w13Hpj4;Eva María se fue;Daniel Diges;2012-01-27
spotify:track:6nz1ojKuYx5HO7Vh0wmuWp;Vuela, Vuela (Voyage, Voyage);Magneto;2007-06-12
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;Los Del Rio;1993-12-13
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW;María;Ricky Martin;1995-09-12
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ;Corazón partío;Alejandro Sanz;1997
spotify:track:6NG2IIXZfC5Notpz0GIODU;The Ketchup Song (Aserejé) - Spanish Version;Las Ketchup;2002
spotify:track:7Eb5AYiiGWItBNddlmxvnh;A quién le importa;Alaska Y Dinarama;1986
spotify:track:5BSclXJTa9B0iURhUjZo50;La Tortura (feat. Alejandro Sanz);Shakira, Alejandro Sanz;2005-06-03
spotify:track:29699gQVPOc6cLocZJMsRT;Adolescentes;Kiko y Shara, Shara;2007-05-22
spotify:track:2s7WJ9IRON5zalNbfFY1xa;Bulería;David Bisbal;2004-01-01
spotify:track:4rFCPjKfgbEeNvs1Ku4nbd;Yo Quiero Bailar;Sonia Y Selena;2001-01-01
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;1999-10-18
spotify:track:3vb3xZADNMONqL7aRQLVPJ;Hay Quel Venir al Sur;Raffaella Carrà;2013-07-30
spotify:track:6AXCWtG8yPOcsFnKMqPILE;Escuchame Mujer;Fondo Flamenco;2007
