URI;Cançó;Artista;Data de publicació
spotify:track:0dMUu2aq0c7H1Axfo41bHZ;Tàndem;The Tyets;2025-06-27
spotify:track:1lvBVtU6beiq5UzUZRDHfk;a la freSka;Figa Flawas;2025-07-03
spotify:track:6GnoUEGyzoAymJ1C6ztDOF;Una altra vegada;Suu;2025-02-14
spotify:track:6dEsxPaNst8eZHClWD6qu4;NO ÉS MIAMI;Buhos, Els Catarres, Henry Mendez;2025-05-23
spotify:track:2QcmLFnAZme6TIzmV3NZCT;Tot el que ens queda;Ginestà;2025-03-04
spotify:track:1mCKeztD2s1FJLRAWw1xVk;Si ho deixéssim tot;The Tyets;2025-03-28
spotify:track:0YLvq215pAthBeTs5qp5yg;Espurna;Stay Homas, Figa Flawas;2025-01-16
spotify:track:33hasXzBCCcUDHNT7DqlE6;Serem més forts;Miki Núñez;2024-10-25
spotify:track:054BhpaxELmhu24ECqU8un;SORT DE TU;Oques Grasses;2024-04-12
spotify:track:3bGAxzfcWxeHhnAWrDBSDo;Rumba catalana;Alfred García;2024-10-18
spotify:track:061GP3myKZzbztHmOivT7Q;La Faràndula;Sexenni;2024-05-31
spotify:track:62E6Lo5E3E3y21oQqPwdpD;TOCA;Oques Grasses, Figa Flawas;2024-04-12
spotify:track:1ECjtBKeOS6rV7exnE5fYG;Boig X Tu;Flashy Ice Cream;2024-06-28
spotify:track:6myTL70UHg3fV9IS5OlXRc;Nit Vuitantera (feat. Vicco);Siderland, Vicco;2024-05-03
spotify:track:0HIbm4W6C8Ar2Cnen0tE44;LA MARINA STA MORENA;Figa Flawas;2024-07-04
spotify:track:5YReQQ7NBlZK7g1LfOwLAJ;NENA CATALANA;Ceaxe, Will.X.O, VWAE;2024-06-07
spotify:track:6Mk1sd1iixmQC6CxaWsnEb;Que Vinguis;The Tyets;2024-05-23
spotify:track:4YxdZlP0WP4QXgUqqApvBo;COR PETIT;Pol Bordas, Figa Flawas, Scotty DK;2024-05-17
spotify:track:5yDkYYyN5RpnWWJCK3xu7A;estaré millor demà;MARLENA, The Tyets;2024-04-05
spotify:track:5YfGs3ieDe7tYnI0yOajp9;SexeSexy;Mushkaa, Bad Gyal, Bexnil;2024-03-28
spotify:track:6cPe7rorhofISE335CqPmH;Els teus ulls;Alfred García;2023-10-13
spotify:track:4ZwCcWOVTwvKwSuFbhiafN;SOLUCIONS i NO PROBLEMES;Figa Flawas;2024-01-26
spotify:track:1TewcrGBlkDAMhehfn0eHh;JA DORMIRÉ;La Fúmiga, Figa Flawas;2024-02-23
spotify:track:6xUY4PmXfu053LRmWRIcaD;Coco;The Tyets, Flashy Ice Cream;2023-03-03
spotify:track:28pGxpOLgH98O0NLsCwUVj;Entre el Fum;Mushkaa, roots;2024-01-18
spotify:track:5KOvTfUOPCmG0HO99HuXlt;Serà perquè t'estimo;Buhos, Dany Bpm, Mon DJ;2023-07-21
spotify:track:0gRIXIUFSqWqw5rXcmaf9o;Olívia;The Tyets;2023-03-03
spotify:track:5Hrnz90iQgcU3qTG20FW0o;Rikiti;Mama Dousha, Scotty DK;2023-05-10
spotify:track:5lDRfQXgTA985GAb0ngSHi;DIABLA;Figa Flawas, Mushkaa;2023-05-11
spotify:track:2yH21rU17MPzRozePFNSJn;Summercat;The Tyets, Pau Romero;2024-01-10
spotify:track:2VaX7eyMo7UxIQgCPVfZoc;Sembla Mentida;Mushkaa, roots;2023-02-24
spotify:track:6uwVwVdsXpOmq1BYY8rDtM;Coti x Coti;The Tyets;2023-02-17
spotify:track:2X4acA46cqBHrdHcL5fdmP;Un Sostre Fet D'Estrelles;Els Catarres;2022-02-25
spotify:track:0KTSV4NdrByhWXmuTOtcgK;Jo Mai Mai;Joan Dausà;2012-02-14
spotify:track:1U6JWvRennx9ej9KJOYwDm;Una Lluna a l'Aigua;Txarango;2017-03-27
spotify:track:3eGOTosM8QRkgh8hm4lB1S;Caminem Lluny;Doctor Prats;2018-05-04
spotify:track:4BMItmcmxrSvrmBnhh3tpG;Mil Ocells;Txarango, Jarabe De Palo;2017-03-27
spotify:track:1vzugDTXDgZCF0QQrzB5hX;L'Empordà;Sopa De Cabra;2010-03-01
spotify:track:7cFSVDWmoFTOiR5QiW6kny;Quan Tot s'enlaira;Txarango;2012-05-11
spotify:track:0TIL4unJvSxvSYXePWgQQs;Les Teves Pigues;Doctor Prats;2018-05-04
spotify:track:3twYwf9MIPgQUgynBhrX0I;Bon Dia;Els Pets;1997
spotify:track:5AnPNGsEt7cOjSGmBDq8e2;Volcans;Buhos;2018-02-16
spotify:track:6MAyp12bbJz8zUUSPa6Ddg;Les Nits No Moren Mai;Doctor Prats;2017-09-29
spotify:track:5YB821pnkkytFH7CpZj9PV;Agafant l'Horitzó;Txarango, Gemma Humet, Aspencat, Cesk Freixas, Les Kol·lontai, Ascensa;2017-09-22
spotify:track:7hiceWoDGGP4RadNyGxRdm;Jenifer;Els Catarres;2011-11-29
spotify:track:6deepSOVnJ6iUM1et20TFh;Llença't;Lax'n'Busto;2014-04-22
spotify:track:4n1umSITq8BUHmhSBtPh7i;A la deriva;Txarango;2020-06-05
spotify:track:4Ews3V2EE9m2KmBxR0MNri;La Gran Eufòria;Joan Dausà;2018-04-13
spotify:track:6ZwiumLIwT05zwF4gB385A;Bailoteo;The Tyets;2022-11-18
spotify:track:7ffa3hboccVAKl1eCvIcyf;Elefants;Oques Grasses;2021-05-28
spotify:track:6a2xtuMfsgEqdbaHhXCzsh;Seguirem Ballant;Doctor Prats, Stay Homas;2022-04-29
spotify:track:5ld18dRXCocuHtxF1gC4H8;Massa Bé;Doctor Prats;2021-05-18
spotify:track:1jd8gq4Z5fFvyxEjJzSPDY;De l'1 al què;The Tyets;2022-03-04
spotify:track:42dX767ZcsJN2hiBZkFCbh;Escriurem;Miki Núñez;2019-09-12
spotify:track:5gtwBFz91hNzSpSSiSmTvA;Boig Per Tu;Sau;1990-03-20
spotify:track:7mKkpSKp0Gba3aWSkcVvL2;Pa amb Oli I Sal;Blaumut;2013-04-22
spotify:track:4vGgXINwSDERPdlFk7OMMd;LA PLATJA;Stay Homas, The Tyets;2023-06-16
spotify:track:1RcV4ZAW4I3HVR6C1e1v8F;Que No S'Acabi;Figa Flawas;2022-08-26
spotify:track:6V6p3kX685TlL51aeSgzpa;L'estaca;Lluis Llach;2007-01-01
spotify:track:05PSmIGYiyhu3h4woxunJz;Corren;Gossos;2007-04-15
spotify:track:4ggCyLHi9itGzHsUgYhnN4;Llença't;Lax'n'Busto;2000
spotify:track:3XN9GOkJsXFALvfFbzTAN6;Camins;Sopa De Cabra;2001-11-15
