Pagina_QR,Spotify_URI,Info_Canco
1,https://www.youtube.com/watch?v=KjLmEJl5YqM,Matador | 1993
1,https://www.youtube.com/watch?v=fR7a_2Tc1hY,Gasolina | 2004
1,https://www.youtube.com/watch?v=2gsmZ-UZAA4,No detectat
1,https://www.youtube.com/watch?v=Cx5ENAFTLZg,No detectat
1,https://www.youtube.com/watch?v=smfo5w7sKMY,No detectat
1,https://www.youtube.com/watch?v=2uQhdDtdXg0,No detectat
1,https://www.youtube.com/watch?v=T_FkEw27XJ0,No detectat
1,https://www.youtube.com/watch?v=pjPA7CXutDw,No detectat
1,https://www.youtube.com/watch?v=v0ckuv1xBm0,No detectat
1,https://www.youtube.com/watch?v=OhXeBoTlCr4,No detectat
1,https://www.youtube.com/watch?v=CCF1_jI8Prk,No detectat
1,https://www.youtube.com/watch?v=kRt2sRyup6A,No detectat
3,https://www.youtube.com/watch?v=Dsp_8Lm1eSk,Despacito | 2017
3,https://www.youtube.com/watch?v=vXtJkDHEAAc,by Shakira ft. | Alejandro Sanz
3,https://www.youtube.com/watch?v=kJQP7kiw5Fk,Bailando | 2014
3,https://www.youtube.com/watch?v=wnJ6LuUFpMo,Mi Gente | 2017
3,https://www.youtube.com/watch?v=Rht7rBHuXW8,by Enrique Iglesias | ft. Gente de Zona &
3,https://www.youtube.com/watch?v=Cr8K88UcO0s,La Moto | 1966
3,https://www.youtube.com/watch?v=iC42OqjRF3M,"La, la, la | 1968"
3,https://www.youtube.com/watch?v=fu-ec0pakak,de Amor | 1978
3,https://www.youtube.com/watch?v=JhPAZOwEY0I,No detectat
3,https://www.youtube.com/watch?v=0xyfnlWs9QA,No detectat
3,https://www.youtube.com/watch?v=7XAUNqTOQx8,No detectat
5,https://www.youtube.com/watch?v=Dp66FOQBJu4,Linda | 1978
5,https://www.youtube.com/watch?v=61m4LHQd5MI,Salta!!! | 1994
5,https://www.youtube.com/watch?v=6IPL5C3eaBY,Chica | 1985
5,https://www.youtube.com/watch?v=OwGG5fX7bxY,Princesa | 1985
5,https://www.youtube.com/watch?v=zzIOxHIZEis,No detectat
5,https://www.youtube.com/watch?v=LyCQvyrZzW0,No detectat
5,https://www.youtube.com/watch?v=Rm-yZGvcf2U,No detectat
5,https://www.youtube.com/watch?v=PmOsNNzYU8Y,No detectat
5,https://www.youtube.com/watch?v=HEqbfhGVI-s,No detectat
