Spotify;Titol;Cantant;Any;Tipus
spotify:track:1or7R43FPk2oyNed5oTeOJ;Saca el guisky cheli;Desmadre 75;1998;Bàsic
spotify:track:7o2CTH4ctstm8TNelqjb51;Sweet Child O' Mine;Guns N' Roses;1987;Bàsic
spotify:track:2fuCquhmrzHpu5xcA1ci9x;Under Pressure - Remastered 2011;Queen, David Bowie;1982;Bàsic
spotify:track:7inx0uAxXtUiyVuvoZRsc7;Quisiera ser;Duo Dinamico;1987;Bàsic
spotify:track:7M6CFruBrM5x7u0lTMtm6r;Cómo Te Atreves;Morat;2016;Bàsic
spotify:track:5MhsZlmKJG6X5kTHkdwC4B;I'm an Albatraoz;AronChupa, Little Sis Nora;2014;Bàsic
spotify:track:14MgTooapmJdLlEMAr2zAM;Dilemma (feat. Kelly Rowland);Nelly, Kelly Rowland;2002;Bàsic
spotify:track:3nvuPQTw2zuFAVuLsC9IYQ;Nothing Compares 2 U;Sinéad O'Connor;1990;Bàsic
spotify:track:11d9oUiwHuYt216EFA2tiz;Ice Ice Baby;Vanilla Ice;1990;Bàsic
spotify:track:6lGrDctccq26IsZ2MDTxZU;Amor, Amor;Lolita;2013;Bàsic
spotify:track:0YZ3J8xzGwLOg4yEgST1YK;With A Little Help From My Friends;Joe Cocker;1969;Bàsic
spotify:track:32gpJnMZkRafZdQvU7ZzR7;Lambada - Version 1989;Kaoma;1989;Bàsic
spotify:track:6JNJERZGJwDVgkmbohBw7u;Self Control;Laura Branigan;1984;Bàsic
spotify:track:7FwBtcecmlpc1sLySPXeGE;Dancing In the Dark;Bruce Springsteen;1984;Bàsic
spotify:track:4QkQmdvFjEVvjc1ONi6t6N;Bailar Pegados;Sergio Dalma;1991;Bàsic
spotify:track:3v1dCP3hk2djfWryqfp7sx;Caminando por la vida;Melendi;2005;Bàsic
spotify:track:2374M0fQpWi3dLnB54qaLX;Africa;TOTO;1982;Bàsic
