Spotify;Titol;Cantant;Any
spotify:track:09kE6H3sCYrt7jfXqU5zsq;Refrain;Lys Assia;1956
spotify:track:1I9fugKDEYETuxJME3aesv;Net Als Toen;Corry Brokken;1957
spotify:track:3kFXYCHBeJwYrwmpLYBdpT;Dors, mon amour;André Claveau;1958
spotify:track:6fQfOgajFEdUTOvAQNoinK;Een Beetje;Teddy Scholten;1959
spotify:track:3fZIQ0sdsy7u7YDmOpqbxS;Tom Pillibi;Jacqueline Boyer;1960
spotify:track:35PWl4T8d2U3a5AboajXXw;Nous les amoureux;Jean-Claude Pascal;1961
spotify:track:6U1n9Q6mrJcS4hznNzAr4N;Un premier amour;Isabelle Aubret;1962
spotify:track:1oIVUqdVUFouSa6xsSN5aM;Dansevise;Grethe Ingmann , Jørgen Ingmann;1963
spotify:track:07rZol7bEXJSUHIcwah0eq;Non ho l'età (Per amarti);Gigliola Cinquetti;1964
spotify:track:7i4WaTC7Xp6SY49aCdcVia;Poupée de cire, poupée de son;France Gall;1965
spotify:track:29wXI6B7d5vy3iPfXhYMuP;Merci Chérie;Udo Jürgens;1966
spotify:track:0cshR238JUXLwLLcEmguM0;Puppet On A String;Sandie Shaw;1967
spotify:track:1ApXNkjfjxkSDoezO8Kh8g;La, La, La;Massiel;1968
spotify:track:4IqC3WWUMMbLZYWzvsMMsC;Un Jour, Un Enfant;Frida Boccara;1969
spotify:track:2ult3HJ9JaycnUd4ys0fIh;De Troubadour - Live;Lenny Kuhr;1969
spotify:track:0vaRIQTdMIEnXjhWlVS95p;Boom Bang a Bang;Lulu;1969
spotify:track:059G9tpE3kl6wz3kiddaN0;Vivo Cantando;Salomé;1969
spotify:track:3SJPRPwpF0MTFKPrshBeKM;All Kinds of Everything;Dana;1970
spotify:track:15mVQWoiwjwXrs5LBybM0A;Un Banc, Un Arbre, Une Rue;Severine;1971
spotify:track:02OvuRrfQIMPkKIevEFmU2;Après toi;Vicky Leandros;1972
spotify:track:3682WlWtLmx44QNpB6Py4X;Tu te reconnaitras;Anne-Marie David;1973
spotify:track:3Dy4REq8O09IlgiwuHQ3sk;Waterloo;ABBA;1974
spotify:track:3tdVjaJKpG5BLW6H4kSyUk;Ding-A-Dong - NL Version;Teach In;1975
spotify:track:5OhwfIapBiHdIkxscQAcmq;Save Your Kisses for Me;Brotherhood of Man;1976
spotify:track:7Hy0CZtFcREucLDXB5jp6m;L'oiseau et l'enfant;Marie Myriam;1977
spotify:track:1njC0GQXuhxnplvR9DK6NZ; Abanibi - אבניבי ;Izhar Cohan;1978
spotify:track:5FKGsEiN2aL6vCuRJXmtYe;Hallelujah;Gali Atari&chalav odvash;1979
spotify:track:51hipIpHYmj2Qh2tyQ32h6;What's Another Year;Johnny Logan;1980
spotify:track:5tK13ThQnZJF1YOVjQ0FAx;Making Your Mind Up;Bucks Fizz;1981
spotify:track:7JZHsMxhcaRKug5kA0DmDE;Ein bisschen Frieden;Nicole;1982
spotify:track:0u8AjgsFdyKA1rAca57GC4;Si la vie est cadeau;Corinne Hermes;1983
spotify:track:4NzirQ4BrNkVaPEla2ipG4;Diggiloo Diggiley;Herreys;1984
spotify:track:3IgpWvgCqZjqhsiKwzw1Q7;La Det Swinge;Bobbysocks;1985
spotify:track:5opXus6JIe9UD94Qk24RYB;J'aime la vie - No. 1 Eurovision Song Contest 1986;Sandra Kim;1986
spotify:track:482pOo6IOI0qNNHxkQFEDn;Hold Me Now;Johnny Logan;1987
