Spotify;Titol;Cantant;Any
spotify:track:59OGXNWxUl8t06DIEpP6eW;Estando Contigo;Conchita Bautista;1961
spotify:track:5NIOZIbuLhFO1PQNv3pHhl;Llamame;Victor Balaguer;1962
spotify:track:08lZvHPOvP3MsGpxZlZ9Up;Algo Prodigioso;José Guardiola;1963
spotify:track:4pTGS44sUrO2aX8rAq0SZc;Caracola - Remastered;Los TNT;1964
spotify:track:6ojK3fWtv67fPP3yMti3ZC;Qué Bueno, Qué Bueno;Conchita Bautista;1965
spotify:track:4H71d1kJ8DB8J4atO8fbBl;Yo soy aquél;Raphael;1966
spotify:track:0wPMCVZNK7PxMEMznpmgAf;Hablemos del amor;Raphael;1967
spotify:track:1ApXNkjfjxkSDoezO8Kh8g;La, La, La;Massiel;1968
spotify:track:059G9tpE3kl6wz3kiddaN0;Vivo Cantando;Salomé;1969
spotify:track:5lOCkGJeSqXM3zK6vCmmhK;Gwendolyne;Julio Iglesias;1970
spotify:track:3S46JQujpHNreKgktdrDBK;En un Mundo Nuevo;Karina;1971
spotify:track:1F2jjX4W3mLOMwhBQXZFic;Amanece;Jaime Morey;1972
spotify:track:08HeIb9BidFjKROf9ptln0;Eres Tú;Mocedades;1973
spotify:track:5hhfm9pW7uJXsFx3mjkMHY;Canta y Sé Feliz;Peret;1974
spotify:track:2KYlV00chBWcckA8smxYJW;Tú Volverás;Sergio Y Estibaliz;1975
spotify:track:1QOgYW9oq5r6evWA2A4s6a;Sobran las Palabras;Braulio;1976
spotify:track:3M5gx2rF2LGhql8iJBFZjs;Enseñame a Cantar;Micky;1977
spotify:track:07HHIWiizlox1aoaxscHoj;Bailemos un Vals;José Velez;1978
spotify:track:2YDMHFV05yjkhAbh2gDm6B;Su Canción;Betty Missiego;1979
spotify:track:5hijfO71dmiQXCSRRMuJ3j;Quédate Esta Noche;Trigo Limpio;1980
spotify:track:1d9NXqULwsBqqdUx4Nvnl4;Y Solo Tú;Bacchelli;1981
spotify:track:77yQUf0QOjjSsNn31KYmXu;Él;Lucia;1982
spotify:track:0TWaqxvioVlbLIa1mGIN1z;Quien Maneja Mi Barca;Remedios Amaya;1983
spotify:track:3K0rUw4z0khdNg4MiSIHB4;Lady, Lady - 2015 Remaster;Bravo;1984
spotify:track:3kE2IGGGIGpqcIMZqjCbgo;La fiesta terminó;Paloma San Basilio;1985
