Track URI;Track Name;Artist Name(s);Columna2
spotify:track:4n1umSITq8BUHmhSBtPh7i;A la deriva;Txarango;2017
spotify:track:1lvBVtU6beiq5UzUZRDHfk;a la freSka;Figa Flawas;2025
spotify:track:4D4DbeUfU2tsrbP83y54Qd;ACTITUD;Buhos,Fraktal,Mon DJ;2024
spotify:track:5YB821pnkkytFH7CpZj9PV;Agafant l'Horitzó;Txarango,Gemma Humet,Aspencat,Cesk Freixas,Les Kol·lontai,Ascensa;2019
spotify:track:0Glt1F8CjYER9OksWxUTVv;Ai, Dolors;Manel;2008
spotify:track:6JUElKXEIkRlR2Uy4CzT65;Al vent;Raimon;1963
spotify:track:1ia819gHWbLBBYHqK76Yg8;Alegria;Antònia Font;2004
spotify:track:0W40K581bQQVi02hZ3vOLq;Animals;Els Catarres;2020
spotify:track:3sbFL6MOViiY2cmVeRLTWY;Ara Que Tinc Vint Anys;Joan Manuel Serrat;1967
spotify:track:6ZwiumLIwT05zwF4gB385A;Bailoteo;The Tyets;2023
spotify:track:45QIyRw4u7swlisLopddtX;Barcelona S'il·lumina;Buhos;2019
spotify:track:6ADbZPiWZNsaCiIvsg5iq6;Benvolgut;Manel;2008
spotify:track:5EiZgiIaQ55WLhF5kMTx00;Bicicletes;Blaumut;2012
spotify:track:2BV29IHoHVqX3wqIRNComf;Bigoti Vermell;Anna Roig i L’ombre de ton chien;2022
spotify:track:5gtwBFz91hNzSpSSiSmTvA;Boig Per Tu;Sau;1991
spotify:track:1ECjtBKeOS6rV7exnE5fYG;Boig X Tu;Flashy Ice Cream;2024
spotify:track:3twYwf9MIPgQUgynBhrX0I;Bon Dia;Els Pets;1997
spotify:track:7Cm5tjS184tqmc2IcoRpvY;Camila;The Tyets,Estopa;2025
spotify:track:3eGOTosM8QRkgh8hm4lB1S;Caminem Lluny;Doctor Prats;2017
spotify:track:3XN9GOkJsXFALvfFbzTAN6;Camins;Sopa De Cabra;2001
spotify:track:37HyGBbQhmNLgieW6gRefk;Canco de Matinada;Joan Manuel Serrat;1969
spotify:track:5xXjygXDO7SQirJo37KBxV;Cant del Barça - Himne Oficial del FC Barcelona;FC Barcelona,Orquestra Simfònica Del Vallès,Orfeó Català,Cor Jove De L'Orfeó Català,Raúl Patiño,Pablo Larraz;1957
spotify:track:2FFrYTZjyby3j0xaEn5RNZ;Cara de cul;Oques Grasses;2021
spotify:track:0gzezhv5Tf3GCQ5HxumI3Q;Caro diario;roserona;2024
spotify:track:6xUY4PmXfu053LRmWRIcaD;Coco;The Tyets,Flashy Ice Cream;2022
spotify:track:0Lh4c3QpwRP4a7DeybvhRN;COMENÇAR A VIURE;Els Catarres;2024
spotify:track:56X120A42AQEJ90rOKhM1N;Compta amb mi;Txarango;2014
spotify:track:4YxdZlP0WP4QXgUqqApvBo;COR PETIT;Pol Bordas,Figa Flawas,Scotty DK;2024
spotify:track:05PSmIGYiyhu3h4woxunJz;Corren;Gossos;2006
spotify:track:6uwVwVdsXpOmq1BYY8rDtM;Coti x Coti;The Tyets;2023
spotify:track:1jd8gq4Z5fFvyxEjJzSPDY;De l'1 al què;The Tyets;2023
spotify:track:5zfVQFZ6T20uTip2mti2pn;DIABLA;Figa Flawas,Mushkaa;2023
spotify:track:2nl5qpV7DFuX86Wb4KZb5t;Diamants;Els Catarres;2023
spotify:track:3aKSPTsDgpu6ZcSuruOh3q;DMs;Ouineta;2024
spotify:track:5oeMKHg9enAzmYQWrLGkUi;El Petit Príncep;Manu Guix,Macedònia,Cia. Petit Príncep;2018
spotify:track:7ffa3hboccVAKl1eCvIcyf;Elefants;Oques Grasses;2019
spotify:track:6cPe7rorhofISE335CqPmH;Els teus ulls;Alfred García;2023
spotify:track:4yrP9i1qRx4tR16jH2MPm7;En Peu de Guerra;Els Catarres;2016
spotify:track:28pGxpOLgH98O0NLsCwUVj;Entre el Fum;Mushkaa,roots;2023
spotify:track:7tiu52iT5YeFY7QhOCpmOs;Esbarzers;La Gossa Sorda;2015
spotify:track:42dX767ZcsJN2hiBZkFCbh;Escriurem;Miki Núñez;2023
spotify:track:6PAspDwn6UFPJWLYBxpcDc;Espremedors;La Fúmiga;2023
spotify:track:0YLvq215pAthBeTs5qp5yg;Espurna;Stay Homas,Figa Flawas;2025
spotify:track:5yDkYYyN5RpnWWJCK3xu7A;estaré millor demà;MARLENA,The Tyets;2024
spotify:track:1Mv82uSpBRcqLheQXuEPGa;Estimar-te com la terra;Ginestà;2025
