Spotify;Titol;Cantant;Any;Tipus
spotify:track:0pQskrTITgmCMyr85tb9qq;Starman - 2012 Remaster;David Bowie;1972;Temacles
spotify:track:5Hu3Y13dE9rEZire0tlAMW;Mi Gato;Rosario;2013;Temacles
spotify:track:7iL6o9tox1zgHpKUfh9vuC;In Da Club;50 Cent;2003;Temacles
spotify:track:0Ttqiz6DNvPkThvbnr9vYJ;Solo Si Es Contigo;Bombai, Bebe;2017;Temacles
spotify:track:4qO03RMQm88DdpTJcxlglY;Call Me;Blondie;1999;Temacles
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L;Take on Me;a-ha;1985;Temacles
spotify:track:3cfOd4CMv2snFaKAnMdnvK;All Star;Smash Mouth;1999;Temacles
spotify:track:44Pv0rinObvVa4nQ4TXLga;Hello;Martin Solveig, Dragonette;2011;Temacles
spotify:track:4nVBt6MZDDP6tRVdQTgxJg;Story of My Life;One Direction;2013;Temacles
spotify:track:40riOy7x9W7GXjyGp4pjAv;Hotel California - 2013 Remaster;Eagles;1976;Temacles
spotify:track:100Tm6z29RfHTdUQ6NIs0s;Me Voy;Julieta Venegas;2006;Temacles
spotify:track:5WHTFyqSii0lmT9R21abT8;Don't Call Me Up;Mabel;2019;Temacles
spotify:track:6vGW3d8X48CBaLdU0PQbey;Moving on Up;M People;1998;Temacles
spotify:track:4Dvkj6JhhA12EX05fT7y2e;As It Was;Harry Styles;2022;Temacles
spotify:track:4I3nztDQ3cPajQtzg59tWx;Don't Get Me Wrong;Pretenders;1987;Temacles
spotify:track:2kZJ5wrpq1gCdHmVEjahoH;Pan y mantequilla;Efecto Pasillo;2013;Temacles
spotify:track:0eVborSuxUeSg0meWYd9dZ;Soldadito marinero;Fito y Fitipaldis;2003;Temacles
spotify:track:6J6RWKCPN5RFKHUKEUFjxS;Step by Step;New Kids On The Block;1990;Temacles
spotify:track:3MrRksHupTVEQ7YbA0FsZK;The Final Countdown;Europe;1986;Temacles
spotify:track:7GrAOZRMBhUPN5PdbJZVO9;Europe's Living A Celebration - Versión Gala Eurovisión;Rosa López;2006;Temacles
spotify:track:4esOae7i4rqTbAu9o5Pxco;Girl on Fire;Alicia Keys;2012;Temacles
spotify:track:5ildQOEKmJuWGl2vRkFdYc;DESPECHÁ;ROSALÍA;2022;Temacles
spotify:track:7kzKAuUzOITUauHAhoMoxA;Last Nite;The Strokes;2001;Temacles
spotify:track:6zIfdCmmhPCX0cMquBsC37;Sweet Dreams (Are Made of This);Eurythmics, Annie Lennox, Dave Stewart;2008;Temacles
spotify:track:5BSclXJTa9B0iURhUjZo50;La Tortura (feat. Alejandro Sanz);Shakira, Alejandro Sanz;2005;Temacles
spotify:track:4ePP9So5xRzspjLFVVbj90;Two Princes;Spin Doctors;1991;Temacles
spotify:track:4ICTaUYLT26W3fsMpIX5cq;Rufino;Luz Casal;1985;Temacles
spotify:track:29KiGwvYBw6JGQWrAlLhGg;Perfect;Fairground Attraction;1988;Temacles
spotify:track:08RVzS1yTy1TsVuRgziTOq;Baila (Sexy Thing);Zucchero;2001;Temacles
spotify:track:1mea3bSkSGXuIRvnydlB5b;Viva La Vida;Coldplay;2008;Temacles
spotify:track:6RtPijgfPKROxEzTHNRiDp;Rude;MAGIC!;2014;Temacles
spotify:track:5hnyJvgoWiQUYZttV4wXy6;Chasing Cars;Snow Patrol;2006;Temacles
spotify:track:3ZpQiJ78LKINrW9SQTgbXd;All I Wanna Do;Sheryl Crow;1993;Temacles
spotify:track:5N6M8yDiMV32T6Rkzh8EbW;Boom, Boom, Boom, Boom!!;Vengaboys;1999;Temacles
spotify:track:7Eb5AYiiGWItBNddlmxvnh;A quién le importa;Alaska Y Dinarama;1986;Temacles
spotify:track:0X1XgxtHG9hULAw296CCgz;El Gato Que Está Triste y Azul - Un Gato Nel Blu;Roberto Carlos;1992;Temacles
spotify:track:7EI6Iki24tBHAMxtb4xQN2;Anywhere;Rita Ora;2017;Temacles
spotify:track:1EZypwk0xcj64ZLAglhLs2;La Cosa Mas Bella;Eros Ramazzotti;1996;Temacles
spotify:track:1EXrFPfVNVsyb32yapebbM;Our House;Madness;1982;Temacles
spotify:track:7fu3Tv5rcoGD1PZV7s57WW;Rock the Boat;Hues Corporation;1973;Temacles
spotify:track:5HCyWlXZPP0y6Gqq8TgA20;STAY (with Justin Bieber);The Kid LAROI, Justin Bieber;2021;Temacles
spotify:track:0cqRj7pUJDkTCEsJkx8snD;Shake It Off;Taylor Swift;2014;Temacles
spotify:track:7BCer0V0I1CZDI6S6kYD44;Son de Amores;Andy & Lucas;2001;Temacles
spotify:track:4Egb5xP6cniUx0kgZd5zLB;Soy Yo;Bomba Estéreo;2015;Temacles
spotify:track:3WJg6tafYPq7xVmLXVLI1b;Achilipú;Dolores Vargas;2015;Temacles
spotify:track:3GfOAdcoc3X5GPiiXmpBjK;Song 2;Blur;2000;Temacles
spotify:track:2bPH3Ph0RHQuugStXcpyRP;Cuando Tú Vas;Chenoa;2002;Temacles
spotify:track:1FkoVC85Ds3mFoK0fVqEqP;Self Esteem;The Offspring;1994;Temacles
spotify:track:1xQ6trAsedVPCdbtDAmk0c;Savage Love (Laxed - Siren Beat);Jawsh 685, Jason Derulo;2020;Temacles
spotify:track:1gVVSmhWjci8l9Vrsl6HaS;Vertigo;U2;2004;Temacles
spotify:track:2M9ro2krNb7nr7HSprkEgo;Fast Car;Tracy Chapman;1988;Temacles
spotify:track:0GzQB5WXavUEU8tfTCAd8m;Cuando zarpa el amor;Camela;2004;Temacles
spotify:track:623rRTKwGmgjH6sjE9uWLh;Scatman (ski-ba-bop-ba-dop-bop);Scatman John;1995;Temacles
spotify:track:3U5JVgI2x4rDyHGObzJfNf;Unwritten;Natasha Bedingfield;2004;Temacles
spotify:track:7EWKAYWmUc1cTfEimTKvou;Háblame de Ti;Pecos;1978;Temacles
spotify:track:521uF3jhz9GIIlLeP9YV7J;Sleeping In My Car;Roxette;1994;Temacles
spotify:track:5Ihd9HrPvOADyVoonH9ZjB;Un-Break My Heart;Toni Braxton;1996;Temacles
spotify:track:1d5obgzCOtwq9qaxfe4Hpw;Rayos de Sol;José de Rico, Henry Mendez;2011;Temacles
spotify:track:5ChkMS8OtdzJeqyybCc9R5;Billie Jean;Michael Jackson;2008;Temacles
spotify:track:34js2TOQm9tf6xhefJ97HI;Oye;Gloria Estefan;1998;Temacles
spotify:track:0COqiPhxzoWICwFCS4eZcp;Bring Me To Life;Evanescence;2003;Temacles
spotify:track:5RC9olve1FVs1bnIneatm8;Free;Ultra Naté;1998;Temacles
spotify:track:1ot6jEe4w4hYnsOPjd3xKQ;I'm So Excited;The Pointer Sisters;1982;Temacles
spotify:track:6nTiIhLmQ3FWhvrGafw2zj;American Idiot;Green Day;2004;Temacles
spotify:track:4Kii4OhkRIezu0KjOiFq0G;19 Dias y 500 Noches;Joaquín Sabina;1999;Temacles
spotify:track:3u5N55tHf7hXATSQrjBh2q;Freed From Desire - prod. Molella, Phil Jay;Gala, Molella, Phil Jay;1997;Temacles
spotify:track:3A58rEqzY7fwWSOnlB2AxB;Las Chicas Son Guerreras;COZ;2013;Temacles
spotify:track:6ASzF6lnAamXQvWLPa3WDi;Suéltate el pelo;Hombres G;1988;Temacles
spotify:track:3L7RtEcu1Hw3OXrpnthngx;Don't You Want Me;The Human League;1981;Temacles
spotify:track:07q0QVgO56EorrSGHC48y3;I Was Made For Lovin' You;KISS;1979;Temacles
spotify:track:2He3NOyqtLNE3RQPpeDdSb;Groove Is in the Heart;Deee-Lite;1990;Temacles
spotify:track:2XVQdI3m0giGxNrwUhV3yP;Funkytown;Lipps Inc.;1979;Temacles
spotify:track:0nHdPB5NA4xkoDoSLbREwD;Ma quale idea;Pino D'Angiò;2016;Temacles
spotify:track:483Mpgv3ri4eUD5mJvHnaI;El Canario;No Me Pises Que Llevo Chanclas;1994;Temacles
spotify:track:7pqTE8rWJUZ74M3rpDbLzP;Sola (Con un desconocido);Ole Ole;1987;Temacles
spotify:track:6QBLmxP1tU6lw1dhKQulau;Mediterraneo;Los Rebeldes;1986;Temacles
spotify:track:4u7ZqpIkq2sDdQD22JOFLZ;ABC;The Jackson 5;2022;Temacles
spotify:track:37ZJ0p5Jm13JPevGcx4SkF;Livin' On A Prayer;Bon Jovi;1986;Temacles
spotify:track:2rTYgHxgcndkUrRoU7x0Sv;Mr. Vain;Culture Beat;1993;Temacles
spotify:track:1B75hgRqe7A4fwee3g3Wmu;U Can't Touch This;MC Hammer;1990;Temacles
spotify:track:4p7XH4NhQ25iGYrrbg93gt;Suave;Luis Miguel;1993;Temacles
spotify:track:5fwSHlTEWpluwOM0Sxnh5k;Pepas;Farruko;2021;Temacles
spotify:track:1NCuYqMc8hKMb4cpNTcJbD;Another Day in Paradise - 2016 Remaster;Phil Collins;1989;Temacles
spotify:track:0AQqrtK1pULuwZUXhwaaDz;All By Myself;Eric Carmen;1975;Temacles
spotify:track:4WpmwEdc4RBos8W8icSSxW;Moonlight Shadow;Mike Oldfield;2009;Temacles
