URI;CanÃ§Ã³;IntÃ¨rpret;Any de publicaciÃ³
spotify:track:1ZQSW2tmnqZed9TH03U9aV;I Want To Be Loved;Savannah Churchill;1947
spotify:track:0BHroBUvBAp561BYqC9LRK;Tennessee Waltz;Patti Page;1950
spotify:track:7bs4wDnaX0z7BTeM6lTcYA;(How Much Is That) Doggie In The Window;Patti Page;1953
spotify:track:5wzjc23Qsn7wN75eLMvFEc;Secret Love;Doris Day;1953
spotify:track:0KBvapFwuz8gPKu6Gw23WN;Ella Fitzgerald, Louis Armstrong;Cheek to Cheek;1956
spotify:track:4Ylqc711Eq763XbTAOABu3;Que Sera, Sera (Whatever Will Be,  Will Be);Doris Day;1956
spotify:track:2gNjmvuQiEd2z9SqyYi8HH;Ella Fitzgerald, Louis Armstrong;Let's Call the Whole Thing Off;1957
spotify:track:3NcZO4uwZ4gmq83neJr7G7;Soulville;Dinah Washington;1957
spotify:track:2CeqxyOZEyiL6pTDYZ9gPH;Fever;Peggy Lee;1958
spotify:track:0zGLlXbHlrAyBN1x6sY0rb;A Sunday Kind Of Love;Etta James;1960
spotify:track:4Hhv2vrOTy89HFRcjU3QOx;At Last;Etta James;1960
spotify:track:1plEmsH26pWSX0WzPchcz1;Where The Boys Are;Connie Francis;1960
spotify:track:4QMvxtZGcmvwWtmmoiRs5B;Will You Love Me Tomorrow;The Shirelles;1960
spotify:track:6QGL2yWEAh2H7cuWd55wZV;Mama Said;The Shirelles;1961
spotify:track:1Mw5hlQc2328fJL7AGZb65;Don't Make Me Over;Dionne Warwick;1962
spotify:track:7xt1KHm7ToHgfOaNhvONRR;Soldier Boy;The Shirelles;1962
spotify:track:6EAlFsajDK1PVgfhdJbS5Y;Something's Got A Hold On Me;Etta James;1962
spotify:track:2BQZvZsA9SRafvWEBSQnri;Anyone Who Had a Heart;Dionne Warwick;1963
spotify:track:2G2YzndIA6jeWFPBXhUjh5;Be My Baby;The Ronettes;1963
spotify:track:31A3oqQxDLdG9HRx45z62d;I Only Want To Be With You;Dusty Springfield;1963
spotify:track:7ngRS53kqxLcEt9Pythc5d;You Don't Own Me;Lesley Gore;1963
spotify:track:0uvVuY4fpibTddHaAPhWvc;Baby Love;The Supremes;1964
spotify:track:6rLqjzGVVMLDWEnuUqi8q;Dancing In The Street;Martha Reeves & The Vandellas;1964
spotify:track:4rf2s9rmqnQnUqD0zqhmbu;My Girl;The Temptations;1964
spotify:track:4591VqUIXysNlmI5NcAIUd;My Guy;Mary Wells;1964
spotify:track:69RH84na5iUNwrwxpgjC5j;Where Did Our Love Go;The Supremes;1964
spotify:track:6Rqn2GFlmvmV4w9Ala0I1e;Feeling Good;Nina Simone;1965
spotify:track:5ywOGx10zueUNwTb4REJb7;Stop! In The Name Of Love;The Supremes;1965
spotify:track:2PneNdtypG6XcgmWmGd9FI;These Boots Are Made for Walkin';Nancy Sinatra;1965
spotify:track:1OppEieGNdItZbE14gLBEv;You Can't Hurry Love;The Supremes;1966
spotify:track:2okx0Vea3uyBmuaOyMjbAt;You Don't Have To Say You Love Me;Dusty Springfield;1966
spotify:track:2hCL4VS1BOB2mNgsdX69k7;You Keep Me Hangin' On;The Supremes;1966
spotify:track:5K09WxKdlkroDyEVyOSySy;(You Make Me Feel Like) A Natural Woman;Aretha Franklin;1967
