Spotify;Titol;Cantant;Any
spotify:track:1or7R43FPk2oyNed5oTeOJ;Saca el guisky cheli;Desmadre 75;1975
spotify:track:7o2CTH4ctstm8TNelqjb51;Sweet Child O' Mine;Guns N' Roses;1987
spotify:track:2fuCquhmrzHpu5xcA1ci9x;Under Pressure - Remastered 2011;Queen, David Bowie;1981
spotify:track:7inx0uAxXtUiyVuvoZRsc7;Quisiera ser;Duo Dinamico;1962
spotify:track:7M6CFruBrM5x7u0lTMtm6r;CÃ³mo Te Atreves;Morat;2015
spotify:track:5MhsZlmKJG6X5kTHkdwC4B;I'm an Albatraoz;AronChupa, Little Sis Nora;2014
spotify:track:14MgTooapmJdLlEMAr2zAM;Dilemma (feat. Kelly Rowland);Nelly, Kelly Rowland;2002
spotify:track:3nvuPQTw2zuFAVuLsC9IYQ;Nothing Compares 2 U;SinÃ©ad O'Connor;1990
spotify:track:11d9oUiwHuYt216EFA2tiz;Ice Ice Baby;Vanilla Ice;1989
spotify:track:6lGrDctccq26IsZ2MDTxZU;Amor, Amor;Lolita;1975
spotify:track:0YZ3J8xzGwLOg4yEgST1YK;With A Little Help From My Friends;Joe Cocker;1968
spotify:track:32gpJnMZkRafZdQvU7ZzR7;Lambada - Version 1989;Kaoma;1989
spotify:track:6JNJERZGJwDVgkmbohBw7u;Self Control;Laura Branigan;1984
spotify:track:7FwBtcecmlpc1sLySPXeGE;Dancing In the Dark;Bruce Springsteen;1984
spotify:track:4QkQmdvFjEVvjc1ONi6t6N;Bailar Pegados;Sergio Dalma;1991
spotify:track:3v1dCP3hk2djfWryqfp7sx;Caminando por la vida;Melendi;2006
spotify:track:2374M0fQpWi3dLnB54qaLX;Africa;TOTO;1982
spotify:track:4d6eqRtpDX7tydHJGDZUBQ;She Drives Me Crazy;Fine Young Cannibals;1988
spotify:track:0Gw9QC3RqHmTdGqHIWLHb6;La Isla del Amor (feat. Maki);Demarco Flamenco, Maki;2017
spotify:track:2G0GextMwZJLkNxcSZ7ZJ3;(What A) Wonderful World - Mono;Sam Cooke;1960
spotify:track:0Gx4VrHzS7pZOEAGrmXXBH;La Bicicleta;Carlos Vives, Shakira;2016
spotify:track:42ydLwx4i5V49RXHOozJZq;Scars To Your Beautiful;Alessia Cara;2015
spotify:track:7lnlxvKtaHz3JqGxZDl6Wy;Dile - Remastered;Luis Aguile;1968
spotify:track:20I6sIOMTCkB6w7ryavxtO;Call Me Maybe;Carly Rae Jepsen;2011
spotify:track:5oQadhkuEdEhtdVn0QceyZ;Se fuÃ©;Laura Pausini;1993
spotify:track:1qPbGZqppFwLwcBC1JQ6Vr;Wonderwall;Oasis;1995
spotify:track:27SdWb2rFzO6GWiYDBTD9j;Cheap Thrills;Sia;2016
spotify:track:5vFFwU909VMZIBA7sZPtW0;Super Freak;Rick James;1981
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM;Hey Ya!;Outkast;2003
spotify:track:4oW1lGOw5Q5OLvoJv92qoE;I Can Help;Billy Swan;1974
spotify:track:3UI9I3e1g1y5T3SMfdgfGO;Colgando en tus manos (con Marta SÃ¡nchez);Carlos Baute, Marta SÃ¡nchez;2008
spotify:track:4uaffKRsN1NEQWVmkwMDAZ;Black is Black;Los Bravos;1966
spotify:track:5IKLwqBQG6KU6MP2zP80Nu;We Are Family - 1995 Remaster;Sister Sledge;1979
spotify:track:3lpF8AbTteK4bXXZMhm31n;Un Ramito de Violetas;Cecilia;1975
spotify:track:1oaPnvUccVzyjsKFkuE7oA;Soy rebelde;Jeanette;1971
spotify:track:35tzxthMBglBMjmZ7Fn1hj;Gloria;Umberto Tozzi;1979
spotify:track:4BFMQ15vXr626UOoZL8bUI;"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack";Bill Medley, Jennifer Warnes;1987
spotify:track:3K7Q9PHUWPTaknlbFPThn2;Celebration;Kool & The Gang;1980
spotify:track:2gQaQUhDCNGfBVXTvxAmXQ;Shout;Tears For Fears;1984
spotify:track:2Fxmhks0bxGSBdJ92vM42m;bad guy;Billie Eilish;2019
spotify:track:6PypGyiu0Y2lCDBN1XZEnP;Everybody Hurts;R.E.M.;1992
spotify:track:2oI6d7XcMz1AMTQhDopV5J;ResistirÃ©;Duo Dinamico;1988
spotify:track:2IofpcCv3PjgZ5AjX446fi;Dime Que Me Quieres;Tequila;1979
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;Pajaros de Barro;Manolo Garcia;1998
spotify:track:2mTiKaGdMPA4wfOGGUroE5;When a Man Loves a Woman - Mono;Percy Sledge;1966
spotify:track:30ddpolNHwXlrS5XO8MiiO;Marta, Sebas, Guille y los demÃ¡s;Amaral;2005
spotify:track:1uAjXdRxH2PBCKGSWPagGJ;Libre;Nino Bravo;1972
spotify:track:57iDDD9N9tTWe75x6qhStw;Bitter Sweet Symphony - Remastered 2016;The Verve;1997
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj;I Wanna Dance with Somebody (Who Loves Me);Whitney Houston;1987
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;Zapatillas;El Canto Del Loco;2005
spotify:track:0KMGf0ebdR8aazf1PoHEdb;Guajira Guantanamera;Joseito FernÃ¡ndez;1932
spotify:track:7COfe3P7KgfwDwIRB8LIDw;Mi Gente;J Balvin, Willy William;2017
spotify:track:2Cd9iWfcOpGDHLz6tVA3G4;Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);Shakira, Freshlyground;2010
spotify:track:2pag2vElkdroT8hIO4Gozi;It's a Heartache;Bonnie Tyler;1978
spotify:track:2Hdf9j4LFuisyOpf9ZjNbC;La Felicidad;Palito Ortega;1967
spotify:track:3JFFnk9XQ9PKNd6ueBc2RK;Malo;Bebe;2004
spotify:track:06hsdMbBxWGqBO0TV0Zrkf;Cotton Eye Joe;Rednex;1994
spotify:track:2vwlzO0Qp8kfEtzTsCXfyE;Wrecking Ball;Miley Cyrus;2013
spotify:track:5ZrDlcxIDZyjOzHdYW1ydr;Barbie Girl;Aqua;1997
spotify:track:5jE48hhRu8E6zBDPRSkEq7;All About That Bass;Meghan Trainor;2014
spotify:track:6mUQ6NW9WRcCuSsi4kzdlf;Un Rayo de Sol;Los Diablos;1970
spotify:track:4SGBuq37Ol4HJr7pQqFMKa;I Got You Babe;Sonny & Cher;1965
spotify:track:3yzHIAzk3zVE1WgspS8W21;Vivir AsÃ­ Es Morir de Amor;Camilo Sesto;1978
spotify:track:2LScqpywMqGcnum6nNaxXX;Yes Sir, I Can Boogie;Baccara;1977
spotify:track:0bEA0mMgXheXnahvIbIQfg;Bailando - Spanish Version;Enrique Iglesias, Descemer Bueno, Gente De Zona;2014
spotify:track:3DamFFqW32WihKkTVlwTYQ;Fireflies;Owl City;2009
spotify:track:11mwFrKvLXCbcVGNxffGyP;Genie In a Bottle;Christina Aguilera;1999
spotify:track:6pPWRBubXOBAHnjl5ZIujB;The Best;Tina Turner;1989
spotify:track:33LC84JgLvK2KuW43MfaNq;"My Heart Will Go On - Love Theme from ""Titanic""";CÃ©line Dion;1997
spotify:track:1Hud0EePGdcqcHIIDksq3R;Volando Voy;Kiko Veneno;1989
spotify:track:4sCSUQnWQ6HJsOMjfPicdn;Danza Kuduro;Don Omar, Lucenzo;2010
spotify:track:1mXuMM6zjPgjL4asbBsgnt;Firework;Katy Perry;2010
spotify:track:6120uJUyg6QDzaAJUosTx5;Knock On Wood;Amii Stewart;1979
spotify:track:1FjyT8FTmnvelt4dNwp2Jx;ChacachÃ¡ del tren (remastered);Hermanas Fleta;1959
spotify:track:5JOVSWohrjXW0BFTboh8XO;Don't Go;Yazoo;1982
spotify:track:7idTMG6EKZy0531lIx8RJ5;"Rigoletto: ""La Donna E' Mobile""";Enrico Caruso;1908
spotify:track:6habFhsOp2NvshLv26DqMb;Despacito;Luis Fonsi, Daddy Yankee;2017
spotify:track:4CeeEOM32jQcH3eN9Q2dGj;Smells Like Teen Spirit;Nirvana;1991
spotify:track:2i7SlECYIAsT72FpLUU1Uj;Me Gustas Mucho;RocÃ­o DÃºrcal;1982
spotify:track:1kXTqAV4IshAbOQpWl9PkE;Hay que venir al sur;Raffaela CarrÃ¡;1978
spotify:track:0UAJH0k4k3slcE83a9UGCe;Lola;The Kinks;1970
spotify:track:6z5Xrx58p5Bs18RIe6KXbI;Lo Que PasÃ³, PasÃ³;Daddy Yankee;2004
spotify:track:0wAyDBh0ujohCsYeXBtDLF;In the Mood - 2006 Remastered Version;Glenn Miller;1939
spotify:track:1hj6nYHeGclSY0VNTHMi27;Amante Bandido;Miguel BosÃ©;1984
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw;Closer;The Chainsmokers, Halsey;2016
spotify:track:1c0zagykmGPDYuxJeDqZhJ;World Hold on (Children of the Sky) [Radio Edit];Bob Sinclar, Steve Edwards;2006
spotify:track:6dHTkQYY3zdR9i9Nj0IGVW;"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix";Reel 2 Real, The Mad Stuntman, Erick Morillo;1994
spotify:track:5tsDJt6Riyi26vowpb6FLs;Tu Enemigo;Pablo LÃ³pez, Juanes;2015
spotify:track:4QlzkaRHtU8gAdwqjWmO8n;Friday I'm In Love;The Cure;1992
spotify:track:7egg6pLQbewWGalcr241Rz;Tengo una Debilidad;Antonio MachÃ­n;1940
spotify:track:0M2tanh26PWePnaGVV3h3y;Salta!!!;Tequila;1981
spotify:track:77eDrs7w2utSdbBdpbefol;No me importa nada;Luz Casal;1989
spotify:track:1F43XlPBiwAUUIhrUGzylO;Never Ending Story;Limahl;1984
spotify:track:0Uzf6J45f8K4qaVppjVb6N;Mi Carro;Manolo Escobar;1969
spotify:track:4PRJD9T23GQKQYKhJQcGGY;AquÃ­ No Hay Playa;The Refrescos;1989
spotify:track:1OxcIUqVmVYxT6427tbhDW;Fly Away;Lenny Kravitz;1998
spotify:track:6kWJvPfC4DgUpRsXKNa9z9;All That She Wants;Ace of Base;1992
spotify:track:2YWjW3wwQIBLNhxWKBQd16;Lean On (feat. MÃ˜ & DJ Snake);Major Lazer, MÃ˜, DJ Snake;2015
spotify:track:7aQjPecQdIuNd1sz3KCDhD;Lovefool;The Cardigans;1996
spotify:track:6Tnnk7MAnZiDx67DJN2hnx;Mi gran noche;Raphael;1967
spotify:track:5zHvsFZoCzLmhbRbYDkg42;La RevoluciÃ³n Sexual;La Casa Azul;2007
spotify:track:3cbV252akVZInSvJk7jAYX;Flashdance...What a Feeling - Radio Edit;Irene Cara;1983
spotify:track:4w1lzcaoZ1IC2K5TwjalRP;A Thousand Miles;Vanessa Carlton;2002
spotify:track:4oCGALJSQZxLnsnPPgShln;Veneno en la Piel;Radio Futura;1990
spotify:track:2uQPeyP4Y15jrlJbc5SRwm;Soy minero;Antonio Molina;1956
spotify:track:4kYdaN5ECfrCPPuUUiCiTr;Que Hace una Chica Como Tu en un Sitio Como Este;Burning;1980
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;Los Del Rio;1993
spotify:track:1QEEqeFIZktqIpPI4jSVSF;More Than a Feeling;Boston;1976
spotify:track:1w2Nnj1HEUgoOglVRWfZj8;Me cuesta tanto olvidarte;Mecano;1986
spotify:track:27u17peWruKyUe7RfBglZC;El Reloj;Los Tres Caballeros;1957
spotify:track:5P1JgHeCLAgZJx9oiDccza;Chica YeYe;Conchita Velasco;1965
spotify:track:127QTOFJsJQp5LbJbu3A1y;Toosie Slide;Drake;2020
spotify:track:2JzZzZUQj3Qff7wapcbKjc;See You Again (feat. Charlie Puth);Wiz Khalifa, Charlie Puth;2015
spotify:track:4gphxUgq0JSFv2BCLhNDiE;Jailhouse Rock;Elvis Presley;1957
spotify:track:1B0BQaSRHxhI0AUlItY3LK;MALAMENTE - Cap.1: Augurio;ROSALÃA;2018
spotify:track:6DSvUZQdqtNfkJI4cAiUsM;The Twist;Chubby Checker;1960
spotify:track:2EM9zpAc7PVeoAydmbfVIL;La Camisa Negra;Juanes;2005
spotify:track:1Qo29QfhrhhhoniBr1WCDq;Que Nadie;Manuel Carrasco, MalÃº;2008
spotify:track:6buqYaAyimysMjE8yuiaXy;CuÃ©ntame;Formula V;1969
spotify:track:5haXbSJqjjM0TCJ5XkfEaC;I Got You (I Feel Good);James Brown & The Famous Flames;1965
spotify:track:2xUl8Bp6eLddk5mdv8I2Wo;Cuando me siento bien;Efecto Pasillo;2015
spotify:track:1zusIxNqJu8i4g6P6hJ2Qa;Mercy;Duffy;2008
spotify:track:1nUsGqyLqbOAnAtduWGNOU;El baÃºl de los recuerdos;Karina;1971
spotify:track:1ExfPZEiahqhLyajhybFeS;The Lazy Song;Bruno Mars;2010
spotify:track:5DIovqjO8pCMkA6L1FXrXl;Estando Contigo;Conchita Bautista;1961
spotify:track:29opVIw8I1BOZntEn3Un2I;La Puerta de AlcalÃ¡;Ana BelÃ©n, VÃ­ctor Manuel;1986
spotify:track:6naxalmIoLFWR0siv8dnQQ;Oops!...I Did It Again;Britney Spears;2000
spotify:track:3ySFQwBgaHN2mlLxY6A0ic;You Can Get It If You Really Want;Jimmy Cliff;1970
spotify:track:6iNBM60VQtPUUhkKfwa5KV;It's My Life;Bon Jovi;2000
spotify:track:16k0xwujtU1eoSLEfofWQ8;Eloise;Tino Casal;1988
spotify:track:7aSxNjoVoAwNL7HDAKwGtC;Â¿Y CÃ³mo Es Ã‰l?;JosÃ© Luis Perales;1982
spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff;Call on Me - Radio Mix;Eric Prydz;2004
spotify:track:4waqcUQWdj0yH26STWl2Rq;Rosas;La Oreja de Van Gogh;2003
spotify:track:1z3ugFmUKoCzGsI6jdY4Ci;Like a Prayer;Madonna;1989
spotify:track:3G9RQLOSjsXVUDyQSv2PQR;Vivir Sin Aire;ManÃ¡;1992
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl;Killing Me Softly With His Song;Fugees, Ms. Lauryn Hill;1996
spotify:track:0OteyYh6inrfcil1XGwC3r;Bailando;Alaska Y Los Pegamoides;1982
spotify:track:2HpbDdD3JLpAPMJFYCeC6o;High (Remix);Maria Becerra, TINI, Lola Indigo;2020
spotify:track:4LFwNJWoj74Yd71fIr1W8x;Right Here Waiting;Richard Marx;1989
spotify:track:1suKCYjsR9rZKnFYM5uK1k;No Controles;Ole Ole;1983
spotify:track:5yqiverYlKEA0ly96HPq01;Flying Free - Original Mix;Pont Aeri, Marian Dacal;2001
spotify:track:2Uy6EhQXAYkXA6MohPgjpV;One More Time - Radio Edit [Short Radio Edit];Daft Punk;2000
spotify:track:6x4tKaOzfNJpEJHySoiJcs;Mambo No. 5 (a Little Bit of...);Lou Bega;1999
spotify:track:1PpOqYZsUCecuOfLELmgOI;BÃ©same Mucho;Emilio Tuero;1940
spotify:track:19CmuECYssqkPWANF4nLWM;Para No Verte MÃ¡s;La Mosca Tse-Tse;1999
spotify:track:2dbaIpJoAk2hhrrX2ljKJo;Surfin' U.S.A. (Mono);The Beach Boys;1963
spotify:track:5zyrEv4F3FaLECI8TOKpFM;Nel Blu Dipinto Di Blu;Domenico Modugno;1958
spotify:track:4MzXwWMhyBbmu6hOcLVD49;DÃKITI;Bad Bunny, Jhayco;2020
spotify:track:5ddFjrPG8NgQQ6xlOQIVd2;TÃº Me Dejaste De Querer;C. Tangana, NiÃ±o de Elche, La HÃºngara;2020
spotify:track:3QHMxEOAGD51PDlbFPHLyJ;Vivir Mi Vida;Marc Anthony;2013
spotify:track:72TFWvU3wUYdUuxejTTIzt;Work;Rihanna, Drake;2016
spotify:track:5WovBMPS14QCqKgBEM1PaO;SobrevivirÃ©;Monica Naranjo;2000
