Spotify;Títol;Artista;Any;Pel·lícula
spotify:track:4eHbdreAnSOrDDsFfc4Fpm;I Will Always Love You;Whitney Houston;1992;The Bodyguard - Original Soundtrack Album
spotify:track:6XJGpirOP4Bgurcvkdanxb;American Beauty;Thomas Newman;2000;American Beauty (Original Motion Picture Score)
spotify:track:568SEFtDjKr7N2PytpA6D5;Over The Rainbow;Judy Garland;1448;The Wizard of Oz (Original Motion Picture Soundtrack) [Deluxe Edition]
spotify:track:0GJdlmUYa1oBqjcj93Z5GC;The Bridge On The River Kwai - The Colonel Bogey March;Malcolm Arnold;1995;Movie Memories- Music From the Greatest Films
spotify:track:5SXsXjVJCWeJuf7FHvgBYR;The Avengers;Alan Silvestri;2012;The Avengers (Original Motion Picture Soundtrack)
spotify:track:132I6UhRKQoslXIVSgoKuk;Little House On The Prairie;David Rose, Daniel Caine Orchestra;2010;100 Greatest Western Themes
spotify:track:02TVrXmI9EBYpuSdmTr4gn;I See You (Theme from Avatar);Leona Lewis;2009;AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner
spotify:track:4cdHlUOUlw0GCtq4yJGMn1;"Theme - From ""The A-Team""";Daniel Caine Orchestra;1999;The A-Team
spotify:track:2Dy9bSUlnypC8Rm5O1iTOZ;Willow's Theme;James Horner;2022;Willow (Original Motion Picture Soundtrack)
spotify:track:4O6ZaZrRCFfiZZKjnrXqlk;That Thing You Do!;The Wonders;1996;That Thing You Do! Original Motion Picture Soundtrack
spotify:track:5w4DKOH3EsOPUuoHXieLtB;"Axel F - From ""Beverly Hills Cop"" Soundtrack";Harold Faltermeyer;1984;Beverly Hills Cop (Music From The Motion Picture Soundtrack)
spotify:track:7ob7mrVX7FEQIT2gSClVtA;La vita è bella;Nicola Piovani;2011;In quintetto
spotify:track:2uE8l7sar0JT0tZYhrPz8S;Where Everybody Knows Your Name (Cheers Theme);Gary Portnoy;2004;Keeper
spotify:track:74iZuPGwyL33VlTr6jTnab;Always Remember Us This Way;Lady Gaga;2018;A Star Is Born Soundtrack
spotify:track:6EIVLz5xM1xE29r0OmIkWt;Falling Slowly;Glen Hansard, Markéta Irglová;2007;Once (Music From The Motion Picture)
spotify:track:0ZNYGrmcehorhh9JOeg5Iv;"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack";José González;2013;Stay Alive (From The Secret Life Of Walter Mitty)
spotify:track:2S1JhDcpEArlLTmNYhW4q5;"Up Where We Belong - From ""An Officer And A Gentleman""";Joe Cocker, Jennifer Warnes;2024;You Are So Beautiful
spotify:track:0UREO3QWbXJW3gOUXpK1am;The Fresh Prince of Bel-Air;DJ Jazzy Jeff & The Fresh Prince;1998;Greatest Hits
spotify:track:1elGwF4VwkwglV4nCBPJtv;Now We Are Free;Hans Zimmer, Klaus Badelt, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra;2000;Gladiator - Music From The Motion Picture
spotify:track:5asGzAVe16Tb1tYkudHcUI;Beverly Hills 90210 Theme;TV Sounds Unlimited;2019;90210 Peach Pit Soundtrack
spotify:track:5FCPN8g30PRH7lLgxDh9LQ;Big Bang Theory Theme;Barenaked Ladies;2011;Hits from Yesterday & the Day Before
spotify:track:2AVkArcfALVk2X8sfPRzya;Summer Nights - From “Grease”;John Travolta, Olivia Newton-John;1978;Grease (The Original Motion Picture Soundtrack)
