Spotify;Titol;Cantant;Any
spotify:track:3sQtyO2P7q9qfkXCGVtAUp;Me Vuelvo Loco;Tequila;1979
spotify:track:3h9GLvqH55IAqUD0kvGE6X;Samba Megamix (12 version);Two Man Sound;1978
spotify:track:0mF5QmsOJq5w3FqGMjycII;Shout To The Top - USA Remix;The Style Council, Jay Mark;1984
spotify:track:2a0xS8Vy4k6rXm8qcR3Ljw;Mejor;Los Brincos;1966
spotify:track:6cRvHL1jwsAktcEcukPYmp;Eso Que TÃº Me Das;Jarabe De Palo;2020
spotify:track:2NF8A7C6tICScdRaZ0BrEe;Katchi - Ofenbach vs. Nick Waterhouse;Ofenbach, Nick Waterhouse;2017
spotify:track:0gyq9BgV4Veyy06r8cxDII;Â¡No Me Toques Las Palmas Que Me Conozco!;MarÃ­a Isabel;2004
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;Los Del Rio;1993
spotify:track:5CeL9C3bsoe4yzYS1Qz8cw;Girls & Boys;Blur;1994
spotify:track:1HOMkjp0nHMaTnfAkslCQj;My Sharona;The Knack;1979
spotify:track:5p3JunprHCxClJjOmcLV8G;Walk On the Wild Side;Lou Reed;1972
spotify:track:1nQIr8PP2btqnjSBvHCj8K;Bonito Es;Los Sencillos;1993
spotify:track:4ZXGwom3XGq29jQmaq0CBb;El Chiringuito - Remasterizado;Georgie Dann;1988
spotify:track:4LZnURUGyflbOMSYG9aW9d;Que DifÃ­cil es Hacer el Amor en un Simca 1000;Los Inhumanos;1988
spotify:track:6qD5Tep3hEoRDQUpyrrDLK;No Estamos Lokos - KalikeÃ±o;Ketama;1995
spotify:track:3S0OXQeoh0w6AY8WQVckRW;I'm Yours;Jason Mraz;2008
spotify:track:0AFJOoRQFlo10Vm1p6BRjg;El calor del amor en un bar;Gabinete Caligari;1986
spotify:track:1V7FkKnkA3Gq1fkGayioSI;Galilea;Sergio Dalma;1991
spotify:track:72psvScOYelPAVpe9k1B9y;Ay MamÃ¡;Rigoberta Bandini;2020
spotify:track:7AzFID6u1b3zIWbd9pb8Dk;Summer in the City - Remastered;The Lovin' Spoonful;1966
spotify:track:59iTRaqCVSG6E382GYghBY;AgapimÃº (feat. Ana BelÃ©n);Ojete Calor, Ana BelÃ©n;2018
spotify:track:27N8TFqYeZhdrgFITRJncP;Mama Africa (feat. AngÃ©lique Kidjo et Youssou Ndour);Kids United, Angelique Kidjo, Youssou N'Dour;2018
spotify:track:7tqhbajSfrz2F7E1Z75ASX;Ain't No Mountain High Enough;Marvin Gaye, Tammi Terrell;1967
spotify:track:5JdLUE9D743ob2RtgmVpVx;Makeba;Jain;2015
spotify:track:1YwPNemawMgGe6sF4U0FTE;Suavemente;Elvis Crespo;1998
spotify:track:3MktEQFErlU3BeJY1pFFU1;Follow The Leader;The Soca Boys, Van B. King;1998
spotify:track:70JnnNNAxPjvZGPwjJfX47;El Fin del Mundo;La La Love You, Axolotes Mexicanos;2021
spotify:track:5Hyr47BBGpvOfcykSCcaw9;"Holding Out for a Hero - From ""Footloose"" Soundtrack";Bonnie Tyler;1984
spotify:track:0DMRKqrpd0QO4RWiEdMib0;You Know I'm No Good;Amy Winehouse;2007
spotify:track:5OUYVbN1gbxz54XBgA4OID;Mueve Tus Caderas;Burning;1977
spotify:track:5G1sTBGbZT5o4PNRc75RKI;Lonely Boy;The Black Keys;2011
spotify:track:1H5IfYyIIAlgDX8zguUzns;Suspicious Minds;Elvis Presley;1969
spotify:track:6M5CyesxNhZ9p1WWCwoc5a;Me Estoy Volviendo Loco;Azul Y Negro;1981
spotify:track:7ooheiWgbyNtGOBTPbjNoq;I Want Your Love - 2018 Remaster;CHIC;1978
spotify:track:4T5Y25pWs2pVZVcFIqFuf8;You Should Be Dancing;Bee Gees;1976
spotify:track:7p8HVe22aGW1XtO1hoDHGo;99 Red Balloons;Nena;1983
spotify:track:7eheoW4hxrH51ww2QePVwF;Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams);C & C Music Factory, Freedom Williams;1990
spotify:track:6hHc7Pks7wtBIW8Z6A0iFq;Blue Monday;New Order;1983
spotify:track:03xPLL0XcHnyuKGsTK5uSK;Baby I Don't Care;Transvision Vamp;1988
spotify:track:5R2hNuiiwnKVAUNktF9j2Y;Mariposas;sangiovanni, Aitana;2022
spotify:track:3xi7tKuBss25X34eNwWac7;BolillÃ³n;No Me Pises Que Llevo Chanclas;1991
spotify:track:1v2zyAJrChw5JnfafSkwkJ;Shiny Happy People;R.E.M.;1991
