Pagina_QR;Spotify_URI;Titol;Artista;Any
1;https://open.spotify.com/track/4UB3TaEGEY9WoOpxYNMgy4;The Safety Dance;Men Without Hats;1982
1;https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;Nickelback;2000
1;https://open.spotify.com/track/1aTAR21kFePsDBHnc74Hli;Africa;TOTO;1982
1;https://open.spotify.com/track/3YBZIN3rekqsKxbJc9FZko;Paradise City;Guns N' Roses;1987
1;https://open.spotify.com/track/53968oKecrFxkErocab2Al;November Rain;Guns N' Roses;1991
1;https://open.spotify.com/track/64yrDBpcdwEdNY9loyEGbX;21 Guns;Green Day;2009
1;https://open.spotify.com/track/1hwJKpe0BPUsq6UUrwBWTw;Boulevard of Broken | Dreams;Green Day;2004
1;https://open.spotify.com/track/7pmNNEJcBcODkrPHEIf7Cy;Another Brick In The Wall | - 2001 Remastered | Version;Pink Floyd;1979
1;https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb;In The Air Tonight - 2015 | Remastered;Phil Collins;1981
1;https://open.spotify.com/track/4YwbSZaYeYja8Umyt222Qf;You Can't Hurry Love - | 2016 Remaster;Phil Collins;1983
1;https://open.spotify.com/track/2hMF7H2dO3oMz1WwIQnQw1;Against All Odds (Take A | Look At Me Now);Phil Collins;1984
1;https://open.spotify.com/track/1NCuYqMc8hKMb4cpNTcJbD;Another Day in Paradise - | 2016 Remaster;Phil Collins;1989
3;https://open.spotify.com/track/0c1gHntWjKD7QShC8s99sq;I Don't Want to Miss a | Thing - From the | Touchstone film,;Aerosmith;1998
3;https://open.spotify.com/track/12axV6NUqaYH3yFUWwArzr;Losing My Religion;R.E.M.;1991
3;https://open.spotify.com/track/0A4PZuepTcIQVvA5m7R0M1;Don't You (Forget About | Me) - Remastered;Simple Minds;2004
3;https://open.spotify.com/track/3fKDSSIgOngs8YYzFJO6eD;Belfast Child - | Remastered 2002;Simple Minds;1989
3;https://open.spotify.com/track/2gqpf4zPnByCcqxqGseqes;Alive And Kicking - | Remastered 2002;Simple Minds;1985
3;https://open.spotify.com/track/1fQaoh3imrMunWVZh5kf90;Shepherd of Fire;Avenged Sevenfold;2013
3;https://open.spotify.com/track/2qkmPUG7ARsRwhVICQVwQS;Mercy;Muse;2015
3;https://open.spotify.com/track/40pPI2TbaYSZlKfV44HRjn;Supremacy;Muse;2012
3;https://open.spotify.com/track/1tjHKKI0r82IB5KL29whHs;Panic Station;Muse;2010
3;https://open.spotify.com/track/79RUMZfMNMpqZnswovvTqv;Wonderwall;Oasis;1995
3;https://open.spotify.com/track/636WyFxSbCDIMLPbWkfVBQ;Butterflies and | Hurricanes;Muse;2004
3;https://open.spotify.com/track/4ICuzGz5Wty0VfE23W1DsD;Hearts and Stars;Cage9;2005
